SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Monterrey Park Academy	16-Apr-24	586	19
IDEA Monterrey Park Academy	17-Apr-24	586	23
IDEA Monterrey Park Academy	18-Apr-24	586	36
IDEA Monterrey Park Academy	19-Apr-24	586	27
IDEA Monterrey Park College Preparatory	15-Apr-24	663	33
IDEA Monterrey Park College Preparatory	16-Apr-24	663	15
IDEA Monterrey Park College Preparatory	17-Apr-24	663	16
IDEA Monterrey Park College Preparatory	18-Apr-24	663	56
IDEA Monterrey Park College Preparatory	19-Apr-24	663	55
IDEA Montopolis Academy	15-Apr-24	651	41
IDEA Montopolis Academy	16-Apr-24	651	36
IDEA Montopolis Academy	17-Apr-24	649	35
IDEA Montopolis Academy	18-Apr-24	649	33
IDEA Montopolis Academy	19-Apr-24	649	51
IDEA Montopolis College Preparatory	15-Apr-24	721	55
IDEA Montopolis College Preparatory	16-Apr-24	721	42
IDEA Montopolis College Preparatory	17-Apr-24	721	39
IDEA Montopolis College Preparatory	18-Apr-24	721	44
IDEA Montopolis College Preparatory	19-Apr-24	721	134
IDEA Najim Academy	15-Apr-24	588	41
IDEA Najim Academy	16-Apr-24	588	34
IDEA Najim Academy	17-Apr-24	589	27
IDEA Najim Academy	18-Apr-24	589	22
IDEA Najim Academy	19-Apr-24	589	40
IDEA Najim College Preparatory	15-Apr-24	439	45
IDEA Najim College Preparatory	16-Apr-24	439	29
IDEA Najim College Preparatory	17-Apr-24	439	32
IDEA Najim College Preparatory	18-Apr-24	438	38
IDEA Najim College Preparatory	19-Apr-24	436	68
IDEA North Mission Academy	15-Apr-24	800	49
IDEA North Mission Academy	16-Apr-24	800	31
IDEA North Mission Academy	17-Apr-24	800	33
IDEA North Mission Academy	18-Apr-24	800	24
IDEA North Mission Academy	19-Apr-24	800	54
IDEA North Mission College Preparatory	15-Apr-24	718	51
IDEA North Mission College Preparatory	16-Apr-24	718	32
IDEA North Mission College Preparatory	17-Apr-24	718	132
IDEA North Mission College Preparatory	18-Apr-24	718	35
IDEA North Mission College Preparatory	19-Apr-24	717	81
IDEA Owassa Academy	15-Apr-24	694	51
IDEA Owassa Academy	16-Apr-24	694	32
IDEA Owassa Academy	17-Apr-24	694	20
IDEA Owassa Academy	18-Apr-24	694	32
IDEA Owassa Academy	19-Apr-24	694	79
IDEA Owassa College Preparatory	15-Apr-24	607	60
IDEA Owassa College Preparatory	16-Apr-24	607	27
IDEA Owassa College Preparatory	17-Apr-24	607	19
IDEA Owassa College Preparatory	18-Apr-24	607	26
IDEA Owassa College Preparatory	19-Apr-24	607	60
IDEA Palmview Academy	15-Apr-24	671	56
IDEA Palmview Academy	16-Apr-24	671	37
IDEA Palmview Academy	17-Apr-24	671	22
IDEA Palmview Academy	18-Apr-24	671	44
IDEA Palmview Academy	19-Apr-24	671	48
IDEA Palmview College Preparatory	15-Apr-24	311	18
IDEA Palmview College Preparatory	16-Apr-24	311	13
IDEA Palmview College Preparatory	17-Apr-24	311	4
IDEA Palmview College Preparatory	18-Apr-24	311	24
IDEA Palmview College Preparatory	19-Apr-24	311	31
IDEA Parmer Park Academy	15-Apr-24	633	41
IDEA Parmer Park Academy	16-Apr-24	633	33
IDEA Parmer Park Academy	17-Apr-24	633	22
IDEA Parmer Park Academy	18-Apr-24	633	36
IDEA Parmer Park Academy	19-Apr-24	633	62
IDEA Parmer Park College Preparatory	15-Apr-24	545	56
IDEA Parmer Park College Preparatory	16-Apr-24	545	41
IDEA Parmer Park College Preparatory	17-Apr-24	545	48
IDEA Parmer Park College Preparatory	18-Apr-24	545	44
IDEA Parmer Park College Preparatory	19-Apr-24	545	50
IDEA Pflugerville Academy	15-Apr-24	640	47
IDEA Pflugerville Academy	16-Apr-24	640	17
IDEA Pflugerville Academy	17-Apr-24	640	34
IDEA Pflugerville Academy	18-Apr-24	640	35
IDEA Pflugerville Academy	19-Apr-24	640	50
IDEA Pflugerville College Preparatory	15-Apr-24	573	28
